bin_id,timestamp,waste_level_kg,capacity_kg,fill_percentage,day_of_week,hour,is_weekend,is_market_area
BIN001,2024-01-10 18:00:00,61.15,100,61.2,2,18,0,0
BIN001,2024-01-11 00:00:00,65.3,100,65.3,3,0,0,0
BIN001,2024-01-11 06:00:00,69.81,100,69.8,3,6,0,0
BIN001,2024-01-11 12:00:00,75.09,100,75.1,3,12,0,0
BIN001,2024-01-11 18:00:00,82.42,100,82.4,3,18,0,0
BIN001,2024-01-12 00:00:00,18.0,100,18.0,4,0,0,0
BIN001,2024-01-12 06:00:00,20.83,100,20.8,4,6,0,0
BIN001,2024-01-12 12:00:00,30.22,100,30.2,4,12,0,0
BIN001,2024-01-12 18:00:00,35.12,100,35.1,4,18,0,0
BIN001,2024-01-13 00:00:00,38.73,100,38.7,5,0,1,0
BIN001,2024-01-13 06:00:00,43.38,100,43.4,5,6,1,0
BIN001,2024-01-13 12:00:00,49.55,100,49.5,5,12,1,0
BIN001,2024-01-13 18:00:00,58.55,100,58.6,5,18,1,0
BIN001,2024-01-14 00:00:00,61.94,100,61.9,6,0,1,0
BIN001,2024-01-14 06:00:00,65.29,100,65.3,6,6,1,0
BIN001,2024-01-14 12:00:00,71.54,100,71.5,6,12,1,0
BIN001,2024-01-14 18:00:00,84.25,100,84.2,6,18,1,0
BIN001,2024-01-15 00:00:00,14.75,100,14.8,0,0,0,0
BIN001,2024-01-15 06:00:00,20.73,100,20.7,0,6,0,0
BIN001,2024-01-15 12:00:00,23.87,100,23.9,0,12,0,0
BIN001,2024-01-15 18:00:00,30.12,100,30.1,0,18,0,0
BIN001,2024-01-16 00:00:00,29.25,100,29.3,1,0,0,0
BIN001,2024-01-16 06:00:00,32.57,100,32.6,1,6,0,0
BIN001,2024-01-16 12:00:00,39.37,100,39.4,1,12,0,0
BIN001,2024-01-16 18:00:00,42.33,100,42.3,1,18,0,0
BIN001,2024-01-17 00:00:00,48.22,100,48.2,2,0,0,0
BIN001,2024-01-17 06:00:00,48.54,100,48.5,2,6,0,0
BIN001,2024-01-17 12:00:00,54.96,100,55.0,2,12,0,0
BIN001,2024-01-17 18:00:00,58.19,100,58.2,2,18,0,0
BIN001,2024-01-18 00:00:00,61.08,100,61.1,3,0,0,0
BIN001,2024-01-18 06:00:00,68.09,100,68.1,3,6,0,0
BIN001,2024-01-18 12:00:00,70.39,100,70.4,3,12,0,0
BIN001,2024-01-18 18:00:00,80.99,100,81.0,3,18,0,0
BIN001,2024-01-19 00:00:00,80.04,100,80.0,4,0,0,0
BIN001,2024-01-19 06:00:00,19.27,100,19.3,4,6,0,0
BIN001,2024-01-19 12:00:00,25.57,100,25.6,4,12,0,0
BIN001,2024-01-19 18:00:00,29.86,100,29.9,4,18,0,0
BIN001,2024-01-20 00:00:00,33.93,100,33.9,5,0,1,0
BIN001,2024-01-20 06:00:00,41.38,100,41.4,5,6,1,0
BIN001,2024-01-20 12:00:00,49.72,100,49.7,5,12,1,0
BIN001,2024-01-20 18:00:00,58.97,100,59.0,5,18,1,0
BIN001,2024-01-21 00:00:00,64.48,100,64.5,6,0,1,0
BIN001,2024-01-21 06:00:00,68.42,100,68.4,6,6,1,0
BIN001,2024-01-21 12:00:00,71.75,100,71.7,6,12,1,0
BIN001,2024-01-21 18:00:00,75.86,100,75.9,6,18,1,0
BIN001,2024-01-22 00:00:00,77.25,100,77.3,0,0,0,0
BIN001,2024-01-22 06:00:00,79.93,100,79.9,0,6,0,0
BIN001,2024-01-22 12:00:00,14.11,100,14.1,0,12,0,0
BIN001,2024-01-22 18:00:00,20.72,100,20.7,0,18,0,0
BIN001,2024-01-23 00:00:00,25.97,100,26.0,1,0,0,0
BIN001,2024-01-23 06:00:00,29.77,100,29.8,1,6,0,0
BIN001,2024-01-23 12:00:00,34.77,100,34.8,1,12,0,0
BIN001,2024-01-23 18:00:00,37.68,100,37.7,1,18,0,0
BIN001,2024-01-24 00:00:00,41.67,100,41.7,2,0,0,0
BIN001,2024-01-24 06:00:00,47.87,100,47.9,2,6,0,0
BIN001,2024-01-24 12:00:00,53.71,100,53.7,2,12,0,0
BIN001,2024-01-24 18:00:00,61.04,100,61.0,2,18,0,0
BIN001,2024-01-25 00:00:00,63.77,100,63.8,3,0,0,0
BIN001,2024-01-25 06:00:00,64.66,100,64.7,3,6,0,0
BIN001,2024-01-25 12:00:00,67.28,100,67.3,3,12,0,0
BIN001,2024-01-25 18:00:00,76.52,100,76.5,3,18,0,0
BIN001,2024-01-26 00:00:00,81.28,100,81.3,4,0,0,0
BIN001,2024-01-26 06:00:00,11.94,100,11.9,4,6,0,0
BIN001,2024-01-26 12:00:00,15.39,100,15.4,4,12,0,0
BIN001,2024-01-26 18:00:00,21.48,100,21.5,4,18,0,0
BIN001,2024-01-27 00:00:00,25.95,100,26.0,5,0,1,0
BIN001,2024-01-27 06:00:00,32.07,100,32.1,5,6,1,0
BIN001,2024-01-27 12:00:00,44.24,100,44.2,5,12,1,0
BIN001,2024-01-27 18:00:00,49.66,100,49.7,5,18,1,0
BIN001,2024-01-28 00:00:00,54.4,100,54.4,6,0,1,0
BIN001,2024-01-28 06:00:00,59.34,100,59.3,6,6,1,0
BIN001,2024-01-28 12:00:00,66.54,100,66.5,6,12,1,0
BIN001,2024-01-28 18:00:00,75.01,100,75.0,6,18,1,0
BIN001,2024-01-29 00:00:00,78.63,100,78.6,0,0,0,0
BIN001,2024-01-29 06:00:00,84.21,100,84.2,0,6,0,0
BIN001,2024-01-29 12:00:00,16.58,100,16.6,0,12,0,0
BIN001,2024-01-29 18:00:00,23.19,100,23.2,0,18,0,0
BIN001,2024-01-30 00:00:00,26.2,100,26.2,1,0,0,0
BIN001,2024-01-30 06:00:00,31.32,100,31.3,1,6,0,0
BIN001,2024-01-30 12:00:00,32.78,100,32.8,1,12,0,0
BIN001,2024-01-30 18:00:00,38.26,100,38.3,1,18,0,0
BIN001,2024-01-31 00:00:00,43.34,100,43.3,2,0,0,0
BIN001,2024-01-31 06:00:00,42.01,100,42.0,2,6,0,0
BIN001,2024-01-31 12:00:00,46.73,100,46.7,2,12,0,0
BIN001,2024-01-31 18:00:00,52.08,100,52.1,2,18,0,0
BIN001,2024-02-01 00:00:00,53.47,100,53.5,3,0,0,0
BIN001,2024-02-01 06:00:00,60.05,100,60.0,3,6,0,0
BIN001,2024-02-01 12:00:00,62.38,100,62.4,3,12,0,0
BIN001,2024-02-01 18:00:00,66.33,100,66.3,3,18,0,0
BIN001,2024-02-02 00:00:00,68.82,100,68.8,4,0,0,0
BIN001,2024-02-02 06:00:00,77.31,100,77.3,4,6,0,0
BIN001,2024-02-02 12:00:00,80.16,100,80.2,4,12,0,0
BIN001,2024-02-02 18:00:00,12.1,100,12.1,4,18,0,0
BIN001,2024-02-03 00:00:00,18.06,100,18.1,5,0,1,0
BIN001,2024-02-03 06:00:00,25.21,100,25.2,5,6,1,0
BIN001,2024-02-03 12:00:00,27.98,100,28.0,5,12,1,0
BIN001,2024-02-03 18:00:00,32.66,100,32.7,5,18,1,0
BIN001,2024-02-04 00:00:00,41.68,100,41.7,6,0,1,0
BIN001,2024-02-04 06:00:00,49.37,100,49.4,6,6,1,0
BIN001,2024-02-04 12:00:00,52.49,100,52.5,6,12,1,0
BIN001,2024-02-04 18:00:00,59.52,100,59.5,6,18,1,0
BIN001,2024-02-05 00:00:00,63.14,100,63.1,0,0,0,0
BIN001,2024-02-05 06:00:00,68.69,100,68.7,0,6,0,0
BIN001,2024-02-05 12:00:00,69.5,100,69.5,0,12,0,0
BIN001,2024-02-05 18:00:00,75.76,100,75.8,0,18,0,0
BIN001,2024-02-06 00:00:00,81.83,100,81.8,1,0,0,0
BIN001,2024-02-06 06:00:00,83.68,100,83.7,1,6,0,0
BIN001,2024-02-06 12:00:00,16.8,100,16.8,1,12,0,0
BIN001,2024-02-06 18:00:00,20.63,100,20.6,1,18,0,0
BIN001,2024-02-07 00:00:00,23.56,100,23.6,2,0,0,0
BIN001,2024-02-07 06:00:00,24.47,100,24.5,2,6,0,0
BIN001,2024-02-07 12:00:00,31.62,100,31.6,2,12,0,0
BIN001,2024-02-07 18:00:00,36.71,100,36.7,2,18,0,0
BIN001,2024-02-08 00:00:00,43.49,100,43.5,3,0,0,0
BIN001,2024-02-08 06:00:00,43.12,100,43.1,3,6,0,0
BIN001,2024-02-08 12:00:00,51.44,100,51.4,3,12,0,0
BIN001,2024-02-08 18:00:00,52.82,100,52.8,3,18,0,0
BIN001,2024-02-09 00:00:00,56.15,100,56.1,4,0,0,0
BIN001,2024-02-09 06:00:00,60.78,100,60.8,4,6,0,0
BIN001,2024-02-09 12:00:00,67.56,100,67.6,4,12,0,0
BIN001,2024-02-09 18:00:00,72.6,100,72.6,4,18,0,0
BIN001,2024-02-10 00:00:00,77.67,100,77.7,5,0,1,0
BIN001,2024-02-10 06:00:00,84.58,100,84.6,5,6,1,0
BIN001,2024-02-10 12:00:00,21.24,100,21.2,5,12,1,0
BIN001,2024-02-10 18:00:00,30.05,100,30.1,5,18,1,0
BIN001,2024-02-11 00:00:00,38.59,100,38.6,6,0,1,0
BIN001,2024-02-11 06:00:00,42.12,100,42.1,6,6,1,0
BIN001,2024-02-11 12:00:00,47.19,100,47.2,6,12,1,0
BIN001,2024-02-11 18:00:00,56.84,100,56.8,6,18,1,0
BIN001,2024-02-12 00:00:00,58.37,100,58.4,0,0,0,0
BIN001,2024-02-12 06:00:00,62.05,100,62.1,0,6,0,0
BIN001,2024-02-12 12:00:00,68.23,100,68.2,0,12,0,0
BIN001,2024-02-12 18:00:00,74.68,100,74.7,0,18,0,0
BIN001,2024-02-13 00:00:00,84.27,100,84.3,1,0,0,0
BIN001,2024-02-13 06:00:00,14.26,100,14.3,1,6,0,0
BIN001,2024-02-13 12:00:00,19.03,100,19.0,1,12,0,0
BIN001,2024-02-13 18:00:00,24.68,100,24.7,1,18,0,0
BIN001,2024-02-14 00:00:00,28.64,100,28.6,2,0,0,0
BIN001,2024-02-14 06:00:00,29.54,100,29.5,2,6,0,0
BIN001,2024-02-14 12:00:00,38.23,100,38.2,2,12,0,0
BIN001,2024-02-14 18:00:00,40.63,100,40.6,2,18,0,0
BIN001,2024-02-15 00:00:00,43.94,100,43.9,3,0,0,0
BIN001,2024-02-15 06:00:00,46.94,100,46.9,3,6,0,0
BIN001,2024-02-15 12:00:00,51.52,100,51.5,3,12,0,0
BIN001,2024-02-15 18:00:00,53.14,100,53.1,3,18,0,0
BIN001,2024-02-16 00:00:00,58.49,100,58.5,4,0,0,0
BIN001,2024-02-16 06:00:00,61.88,100,61.9,4,6,0,0
BIN001,2024-02-16 12:00:00,67.68,100,67.7,4,12,0,0
BIN001,2024-02-16 18:00:00,74.05,100,74.0,4,18,0,0
BIN001,2024-02-17 00:00:00,82.61,100,82.6,5,0,1,0
BIN001,2024-02-17 06:00:00,17.96,100,18.0,5,6,1,0
BIN001,2024-02-17 12:00:00,24.55,100,24.6,5,12,1,0
BIN001,2024-02-17 18:00:00,31.04,100,31.0,5,18,1,0
BIN001,2024-02-18 00:00:00,35.85,100,35.8,6,0,1,0
BIN001,2024-02-18 06:00:00,40.73,100,40.7,6,6,1,0
BIN001,2024-02-18 12:00:00,48.05,100,48.1,6,12,1,0
BIN001,2024-02-18 18:00:00,57.49,100,57.5,6,18,1,0
BIN001,2024-02-19 00:00:00,61.76,100,61.8,0,0,0,0
BIN001,2024-02-19 06:00:00,69.1,100,69.1,0,6,0,0
BIN001,2024-02-19 12:00:00,71.55,100,71.5,0,12,0,0
BIN001,2024-02-19 18:00:00,75.83,100,75.8,0,18,0,0
BIN001,2024-02-20 00:00:00,79.62,100,79.6,1,0,0,0
BIN001,2024-02-20 06:00:00,18.4,100,18.4,1,6,0,0
BIN001,2024-02-20 12:00:00,26.74,100,26.7,1,12,0,0
BIN001,2024-02-20 18:00:00,25.98,100,26.0,1,18,0,0
BIN001,2024-02-21 00:00:00,26.76,100,26.8,2,0,0,0
BIN001,2024-02-21 06:00:00,33.49,100,33.5,2,6,0,0
BIN001,2024-02-21 12:00:00,38.03,100,38.0,2,12,0,0
BIN001,2024-02-21 18:00:00,44.21,100,44.2,2,18,0,0
BIN001,2024-02-22 00:00:00,45.31,100,45.3,3,0,0,0
BIN001,2024-02-22 06:00:00,53.04,100,53.0,3,6,0,0
BIN001,2024-02-22 12:00:00,57.72,100,57.7,3,12,0,0
BIN001,2024-02-22 18:00:00,69.33,100,69.3,3,18,0,0
BIN001,2024-02-23 00:00:00,73.81,100,73.8,4,0,0,0
BIN001,2024-02-23 06:00:00,77.29,100,77.3,4,6,0,0
BIN001,2024-02-23 12:00:00,79.07,100,79.1,4,12,0,0
BIN001,2024-02-23 18:00:00,23.17,100,23.2,4,18,0,0
BIN001,2024-02-24 00:00:00,24.42,100,24.4,5,0,1,0
BIN001,2024-02-24 06:00:00,30.77,100,30.8,5,6,1,0
BIN001,2024-02-24 12:00:00,36.56,100,36.6,5,12,1,0
BIN001,2024-02-24 18:00:00,45.98,100,46.0,5,18,1,0
BIN001,2024-02-25 00:00:00,55.59,100,55.6,6,0,1,0
BIN001,2024-02-25 06:00:00,61.29,100,61.3,6,6,1,0
BIN001,2024-02-25 12:00:00,70.18,100,70.2,6,12,1,0
BIN001,2024-02-25 18:00:00,72.18,100,72.2,6,18,1,0
BIN001,2024-02-26 00:00:00,78.34,100,78.3,0,0,0,0
BIN001,2024-02-26 06:00:00,16.99,100,17.0,0,6,0,0
BIN001,2024-02-26 12:00:00,21.49,100,21.5,0,12,0,0
BIN001,2024-02-26 18:00:00,24.77,100,24.8,0,18,0,0
BIN001,2024-02-27 00:00:00,32.75,100,32.8,1,0,0,0
BIN001,2024-02-27 06:00:00,35.29,100,35.3,1,6,0,0
BIN001,2024-02-27 12:00:00,40.76,100,40.8,1,12,0,0
BIN001,2024-02-27 18:00:00,45.63,100,45.6,1,18,0,0
BIN001,2024-02-28 00:00:00,47.26,100,47.3,2,0,0,0
BIN001,2024-02-28 06:00:00,53.16,100,53.2,2,6,0,0
BIN001,2024-02-28 12:00:00,56.69,100,56.7,2,12,0,0
BIN001,2024-02-28 18:00:00,56.74,100,56.7,2,18,0,0
BIN001,2024-02-29 00:00:00,62.73,100,62.7,3,0,0,0
BIN001,2024-02-29 06:00:00,68.26,100,68.3,3,6,0,0
BIN001,2024-02-29 12:00:00,76.82,100,76.8,3,12,0,0
BIN001,2024-02-29 18:00:00,78.84,100,78.8,3,18,0,0
BIN001,2024-03-01 00:00:00,17.06,100,17.1,4,0,0,0
BIN001,2024-03-01 06:00:00,21.31,100,21.3,4,6,0,0
BIN001,2024-03-01 12:00:00,25.48,100,25.5,4,12,0,0
BIN001,2024-03-01 18:00:00,30.07,100,30.1,4,18,0,0
BIN001,2024-03-02 00:00:00,35.17,100,35.2,5,0,1,0
BIN001,2024-03-02 06:00:00,38.52,100,38.5,5,6,1,0
BIN001,2024-03-02 12:00:00,41.55,100,41.5,5,12,1,0
BIN001,2024-03-02 18:00:00,49.21,100,49.2,5,18,1,0
BIN001,2024-03-03 00:00:00,58.82,100,58.8,6,0,1,0
BIN001,2024-03-03 06:00:00,58.76,100,58.8,6,6,1,0
BIN001,2024-03-03 12:00:00,63.05,100,63.1,6,12,1,0
BIN001,2024-03-03 18:00:00,67.11,100,67.1,6,18,1,0
BIN001,2024-03-04 00:00:00,68.28,100,68.3,0,0,0,0
BIN001,2024-03-04 06:00:00,73.6,100,73.6,0,6,0,0
BIN001,2024-03-04 12:00:00,79.36,100,79.4,0,12,0,0
BIN001,2024-03-04 18:00:00,85.81,100,85.8,0,18,0,0
BIN001,2024-03-05 00:00:00,13.44,100,13.4,1,0,0,0
BIN001,2024-03-05 06:00:00,18.5,100,18.5,1,6,0,0
BIN001,2024-03-05 12:00:00,25.03,100,25.0,1,12,0,0
BIN001,2024-03-05 18:00:00,29.14,100,29.1,1,18,0,0
BIN001,2024-03-06 00:00:00,31.66,100,31.7,2,0,0,0
BIN001,2024-03-06 06:00:00,39.84,100,39.8,2,6,0,0
BIN001,2024-03-06 12:00:00,45.64,100,45.6,2,12,0,0
BIN001,2024-03-06 18:00:00,50.1,100,50.1,2,18,0,0
BIN001,2024-03-07 00:00:00,53.57,100,53.6,3,0,0,0
BIN001,2024-03-07 06:00:00,56.46,100,56.5,3,6,0,0
BIN001,2024-03-07 12:00:00,60.91,100,60.9,3,12,0,0
BIN001,2024-03-07 18:00:00,62.41,100,62.4,3,18,0,0
BIN001,2024-03-08 00:00:00,66.86,100,66.9,4,0,0,0
BIN001,2024-03-08 06:00:00,68.69,100,68.7,4,6,0,0
BIN001,2024-03-08 12:00:00,80.63,100,80.6,4,12,0,0
BIN001,2024-03-08 18:00:00,85.61,100,85.6,4,18,0,0
BIN001,2024-03-09 00:00:00,16.6,100,16.6,5,0,1,0
BIN001,2024-03-09 06:00:00,21.03,100,21.0,5,6,1,0
BIN001,2024-03-09 12:00:00,25.71,100,25.7,5,12,1,0
BIN001,2024-03-09 18:00:00,30.68,100,30.7,5,18,1,0
BIN001,2024-03-10 00:00:00,34.77,100,34.8,6,0,1,0
BIN001,2024-03-10 06:00:00,46.78,100,46.8,6,6,1,0
BIN001,2024-03-10 12:00:00,52.88,100,52.9,6,12,1,0
BIN001,2024-03-10 18:00:00,57.14,100,57.1,6,18,1,0
BIN001,2024-03-11 00:00:00,59.9,100,59.9,0,0,0,0
BIN001,2024-03-11 06:00:00,63.0,100,63.0,0,6,0,0
BIN001,2024-03-11 12:00:00,63.63,100,63.6,0,12,0,0
BIN001,2024-03-11 18:00:00,75.53,100,75.5,0,18,0,0
BIN001,2024-03-12 00:00:00,77.54,100,77.5,1,0,0,0
BIN001,2024-03-12 06:00:00,82.29,100,82.3,1,6,0,0
BIN001,2024-03-12 12:00:00,18.17,100,18.2,1,12,0,0
BIN001,2024-03-12 18:00:00,22.81,100,22.8,1,18,0,0
BIN001,2024-03-13 00:00:00,26.0,100,26.0,2,0,0,0
BIN001,2024-03-13 06:00:00,34.4,100,34.4,2,6,0,0
BIN001,2024-03-13 12:00:00,36.28,100,36.3,2,12,0,0
BIN001,2024-03-13 18:00:00,39.56,100,39.6,2,18,0,0
BIN001,2024-03-14 00:00:00,45.62,100,45.6,3,0,0,0
BIN001,2024-03-14 06:00:00,47.03,100,47.0,3,6,0,0
BIN001,2024-03-14 12:00:00,54.34,100,54.3,3,12,0,0
BIN001,2024-03-14 18:00:00,57.58,100,57.6,3,18,0,0
BIN001,2024-03-15 00:00:00,60.32,100,60.3,4,0,0,0
BIN001,2024-03-15 06:00:00,63.28,100,63.3,4,6,0,0
BIN001,2024-03-15 12:00:00,73.71,100,73.7,4,12,0,0
BIN001,2024-03-15 18:00:00,74.96,100,75.0,4,18,0,0
BIN001,2024-03-16 00:00:00,82.77,100,82.8,5,0,1,0
BIN001,2024-03-16 06:00:00,16.62,100,16.6,5,6,1,0
BIN001,2024-03-16 12:00:00,20.89,100,20.9,5,12,1,0
BIN001,2024-03-16 18:00:00,25.02,100,25.0,5,18,1,0
BIN001,2024-03-17 00:00:00,28.57,100,28.6,6,0,1,0
BIN001,2024-03-17 06:00:00,37.18,100,37.2,6,6,1,0
BIN001,2024-03-17 12:00:00,38.58,100,38.6,6,12,1,0
BIN001,2024-03-17 18:00:00,44.49,100,44.5,6,18,1,0
BIN001,2024-03-18 00:00:00,47.08,100,47.1,0,0,0,0
BIN001,2024-03-18 06:00:00,51.91,100,51.9,0,6,0,0
BIN001,2024-03-18 12:00:00,54.76,100,54.8,0,12,0,0
BIN001,2024-03-18 18:00:00,62.91,100,62.9,0,18,0,0
BIN001,2024-03-19 00:00:00,64.23,100,64.2,1,0,0,0
BIN001,2024-03-19 06:00:00,65.11,100,65.1,1,6,0,0
BIN001,2024-03-19 12:00:00,73.07,100,73.1,1,12,0,0
BIN001,2024-03-19 18:00:00,82.18,100,82.2,1,18,0,0
BIN001,2024-03-20 00:00:00,13.37,100,13.4,2,0,0,0
BIN001,2024-03-20 06:00:00,16.64,100,16.6,2,6,0,0
BIN001,2024-03-20 12:00:00,21.33,100,21.3,2,12,0,0
BIN001,2024-03-20 18:00:00,28.33,100,28.3,2,18,0,0
BIN001,2024-03-21 00:00:00,32.74,100,32.7,3,0,0,0
BIN001,2024-03-21 06:00:00,40.77,100,40.8,3,6,0,0
BIN001,2024-03-21 12:00:00,43.89,100,43.9,3,12,0,0
BIN001,2024-03-21 18:00:00,46.9,100,46.9,3,18,0,0
BIN001,2024-03-22 00:00:00,53.26,100,53.3,4,0,0,0
BIN001,2024-03-22 06:00:00,57.48,100,57.5,4,6,0,0
BIN001,2024-03-22 12:00:00,67.46,100,67.5,4,12,0,0
BIN001,2024-03-22 18:00:00,68.07,100,68.1,4,18,0,0
BIN001,2024-03-23 00:00:00,75.44,100,75.4,5,0,1,0
BIN001,2024-03-23 06:00:00,81.12,100,81.1,5,6,1,0
BIN001,2024-03-23 12:00:00,13.25,100,13.3,5,12,1,0
BIN001,2024-03-23 18:00:00,20.39,100,20.4,5,18,1,0
BIN001,2024-03-24 00:00:00,22.69,100,22.7,6,0,1,0
BIN001,2024-03-24 06:00:00,29.96,100,30.0,6,6,1,0
BIN001,2024-03-24 12:00:00,34.75,100,34.8,6,12,1,0
BIN001,2024-03-24 18:00:00,41.37,100,41.4,6,18,1,0
BIN001,2024-03-25 00:00:00,44.24,100,44.2,0,0,0,0
BIN001,2024-03-25 06:00:00,52.38,100,52.4,0,6,0,0
BIN001,2024-03-25 12:00:00,53.99,100,54.0,0,12,0,0
BIN001,2024-03-25 18:00:00,59.03,100,59.0,0,18,0,0
BIN001,2024-03-26 00:00:00,63.35,100,63.3,1,0,0,0
BIN001,2024-03-26 06:00:00,65.69,100,65.7,1,6,0,0
BIN001,2024-03-26 12:00:00,72.85,100,72.8,1,12,0,0
BIN001,2024-03-26 18:00:00,79.57,100,79.6,1,18,0,0
BIN001,2024-03-27 00:00:00,87.03,100,87.0,2,0,0,0
BIN001,2024-03-27 06:00:00,12.0,100,12.0,2,6,0,0
BIN001,2024-03-27 12:00:00,14.37,100,14.4,2,12,0,0
BIN001,2024-03-27 18:00:00,18.38,100,18.4,2,18,0,0
BIN001,2024-03-28 00:00:00,24.61,100,24.6,3,0,0,0
BIN001,2024-03-28 06:00:00,29.55,100,29.6,3,6,0,0
BIN001,2024-03-28 12:00:00,36.44,100,36.4,3,12,0,0
BIN001,2024-03-28 18:00:00,37.65,100,37.6,3,18,0,0
BIN001,2024-03-29 00:00:00,38.56,100,38.6,4,0,0,0
BIN001,2024-03-29 06:00:00,48.19,100,48.2,4,6,0,0
BIN001,2024-03-29 12:00:00,55.87,100,55.9,4,12,0,0
BIN001,2024-03-29 18:00:00,57.25,100,57.3,4,18,0,0
BIN001,2024-03-30 00:00:00,61.21,100,61.2,5,0,1,0
BIN001,2024-03-30 06:00:00,63.0,100,63.0,5,6,1,0
BIN001,2024-03-30 12:00:00,79.41,100,79.4,5,12,1,0
BIN001,2024-03-30 18:00:00,79.18,100,79.2,5,18,1,0
BIN002,2024-01-01 00:00:00,27.67,120,23.1,0,0,0,0
BIN002,2024-01-01 06:00:00,30.83,120,25.7,0,6,0,0
BIN002,2024-01-01 12:00:00,37.46,120,31.2,0,12,0,0
BIN002,2024-01-01 18:00:00,34.66,120,28.9,0,18,0,0
BIN002,2024-01-02 00:00:00,43.51,120,36.3,1,0,0,0
BIN002,2024-01-02 06:00:00,41.2,120,34.3,1,6,0,0
BIN002,2024-01-02 12:00:00,48.46,120,40.4,1,12,0,0
BIN002,2024-01-02 18:00:00,53.81,120,44.8,1,18,0,0
BIN002,2024-01-03 00:00:00,58.73,120,48.9,2,0,0,0
BIN002,2024-01-03 06:00:00,62.83,120,52.4,2,6,0,0
BIN002,2024-01-03 12:00:00,67.9,120,56.6,2,12,0,0
BIN002,2024-01-03 18:00:00,71.49,120,59.6,2,18,0,0
BIN002,2024-01-04 00:00:00,76.32,120,63.6,3,0,0,0
BIN002,2024-01-04 06:00:00,79.39,120,66.2,3,6,0,0
BIN002,2024-01-04 12:00:00,83.58,120,69.7,3,12,0,0
BIN002,2024-01-04 18:00:00,86.5,120,72.1,3,18,0,0
BIN002,2024-01-05 00:00:00,90.78,120,75.6,4,0,0,0
BIN002,2024-01-05 06:00:00,93.93,120,78.3,4,6,0,0
BIN002,2024-01-05 12:00:00,101.47,120,84.6,4,12,0,0
BIN002,2024-01-05 18:00:00,14.96,120,12.5,4,18,0,0
BIN002,2024-01-06 00:00:00,19.13,120,15.9,5,0,1,0
BIN002,2024-01-06 06:00:00,20.45,120,17.0,5,6,1,0
BIN002,2024-01-06 12:00:00,25.66,120,21.4,5,12,1,0
BIN002,2024-01-06 18:00:00,29.05,120,24.2,5,18,1,0
BIN002,2024-01-07 00:00:00,37.38,120,31.2,6,0,1,0
